name,cluster,LevelNum
NO.0,5,0.0,0.0,19.0,-5.0,0.0,0.0,-45.0,62.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,12,0.0,-6.0,6.0,6.0,0.0,-3.0,-3.0,6.0,0.0,0.0,-19.0,-9.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,-4.0,0.0,3.0,-6.0,7.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,-19.0,7.0,12.0,-16.0,13.0,6.0,-13.0,13.0,2.0,4.0,0.0,0.0,7.0,-7.0,13.0,-13.0,4.0,-4.0,0.0,-7.0,-7.0,4.0,0.0,-4.0,6.0,-3.0,0.0,4.0,-3.0,3.0,0.0,0.0
NO.2,9,-7.0,7.0,0.0,14.0,22.0,-21.0,21.0,0.0,-7.0,7.0,-14.0,-14.0,-8.0,8.0,0.0,0.0,0.0,-57.0,0.0,-21.0,0.0,7.0,-14.0,14.0,0.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,-14.0,0.0,-7.0,0.0,7.0,-14.0,7.0,7.0,-7.0,14.0,0.0,0.0,21.0,0.0,0.0,-7.0,0.0,0.0,-21.0,0.0,0.0,0.0,21.0,-21.0,14.0,0.0,0.0,21.0,-14.0,14.0,0.0,0.0
NO.3,1,-2.0,-1.0,-12.0,6.0,4.0,3.0,0.0,-9.0,0.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,-17.0,-2.0,0.0,0.0,1.0,-3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,-3.0,0.0,-7.0,-8.0,14.0,3.0,10.0,7.0,3.0,0.0,-3.0,3.0,0.0,0.0,-2.0,2.0,0.0,0.0,-2.0,6.0,-6.0,-6.0,0.0,0.0,6.0,-6.0,2.0,0.0,0.0,6.0,-2.0,2.0,0.0,0.0
NO.4,12,-2.0,2.0,-1.0,-11.0,2.0,-2.0,-1.0,3.0,0.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,-1.0,10.0,-5.0,-1.0,5.0,-3.0,-1.0,7.0,0.0,-9.0,7.0,4.0,0.0,5.0,-5.0,0.0,-4.0,0.0,1.0,-1.0,0.0,-3.0,3.0,1.0,-1.0,0.0,-3.0,3.0,1.0
NO.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.6,1,0.0,0.0,-29.0,29.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,-29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-14.0,29.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-15.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.7,12,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,0.0,16.0,-8.0,4.0,0.0,-12.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,4.0,-4.0,-17.0,0.0,0.0,-21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-17.0,0.0,0.0,-4.0,0.0,-12.0,12.0,-8.0,-4.0,0.0,4.0,12.0,-8.0,-4.0,4.0,0.0,12.0
NO.8,10,-28.0,-19.0,10.0,-20.0,28.0,28.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,-28.0,0.0,28.0,9.0,19.0,0.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,-9.0,29.0,28.0,9.0,9.0,28.0,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-9.0,-18.0,9.0,19.0,-28.0,-10.0,-9.0,0.0,28.0,19.0,-10.0,-9.0,0.0
NO.9,12,0.0,19.0,-9.0,-19.0,0.0,0.0,19.0,9.0,0.0,0.0,-10.0,-18.0,0.0,0.0,0.0,19.0,0.0,-9.0,0.0,-19.0,0.0,19.0,-19.0,0.0,0.0,-10.0,0.0,-9.0,0.0,-10.0,19.0,-19.0,-9.0,19.0,9.0,-9.0,9.0,0.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,2.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,2.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,-2.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.11,12,0.0,-15.0,15.0,14.0,0.0,15.0,-15.0,-14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-7.0,7.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0,0.0,-29.0,29.0,-14.0,0.0,29.0,-14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0,-7.0,14.0,-7.0,0.0,-7.0,0.0,7.0,-7.0,7.0,0.0,0.0,7.0,-7.0,7.0,0.0,0.0
NO.12,1,0.0,0.0,-14.0,14.0,0.0,0.0,-15.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-14.0,0.0,0.0,0.0,14.0,14.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,15.0,-28.0,14.0,15.0,-28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,-14.0,14.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,14.0,0.0,-14.0,0.0
NO.13,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,19.0,0.0,28.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-28.0,0.0,0.0,-29.0,0.0,0.0,10.0,-28.0,19.0,0.0,-19.0,10.0,9.0,-9.0,19.0,9.0,0.0,9.0,0.0,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.14,1,0.0,0.0,-14.0,14.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,-28.0,0.0,0.0,-28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-14.0,-14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.15,12,-1.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,1.0,-2.0,-4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,1.0,-5.0,-5.0,-2.0,1.0,4.0,-5.0,1.0,0.0,1.0,4.0,-1.0,1.0,0.0,1.0
NO.16,1,-4.0,-4.0,0.0,8.0,8.0,4.0,-4.0,-16.0,0.0,4.0,0.0,0.0,-4.0,4.0,0.0,8.0,8.0,-12.0,-12.0,0.0,0.0,12.0,4.0,4.0,0.0,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,4.0,-12.0,4.0,4.0,-12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,4.0,-8.0,0.0,4.0,-12.0,0.0,0.0,0.0,4.0,-8.0,0.0,0.0,4.0,4.0,-8.0,0.0
NO.17,12,-4.0,-4.0,8.0,0.0,0.0,4.0,-8.0,0.0,0.0,-4.0,4.0,-4.0,4.0,-4.0,4.0,8.0,0.0,4.0,4.0,-4.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-4.0,-8.0,0.0,0.0,0.0,-8.0,8.0,0.0,-4.0,4.0,0.0,-4.0,8.0,4.0,-8.0,0.0,4.0,-4.0,0.0,0.0,0.0,4.0,-4.0,4.0,0.0,0.0,4.0,-4.0,4.0,0.0,0.0
NO.18,10,0.0,0.0,-14.0,28.0,0.0,0.0,-14.0,-28.0,0.0,0.0,14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,14.0,0.0,14.0,14.0,-14.0,14.0,0.0,14.0,0.0,0.0,0.0,-14.0,14.0,-15.0,15.0,-15.0,15.0,-15.0,0.0,0.0,0.0,15.0,-15.0,-14.0,0.0,0.0,15.0,14.0,-14.0,0.0,0.0
NO.19,1,0.0,0.0,-23.0,23.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,19.0,0.0,-1.0,17.0,-2.0,-3.0,5.0,-6.0,2.0,6.0,0.0,4.0,-2.0,-1.0,-3.0,-2.0,2.0,-2.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.20,12,0.0,4.0,0.0,-4.0,0.0,4.0,0.0,-4.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,-4.0,0.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
